Data,Serial,Variante,GND,Vref Pos,Vref Neg,Temperatura,Vin Pos,Vin Neg,Iin Pos,Iin Neg,Resultado,
"Wed, 23 Aug 2017 11:48:01 GMT",3333333333,HRADC-FBP,HRADC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 11:52:49 GMT",1234567890,HRADC-FBP,HRADC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 12:14:41 GMT",9876543210,HRADC-FBP,HRADC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 12:34:49 GMT",1935121161,HRADC-FBP,HRADC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 12:42:59 GMT",9999999999,HRADC-FBP,HRADC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 12:54:04 GMT",1938490537,HRADC-FAX,HRADC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 12:58:37 GMT",1234567890,HRADC-FBP,HRADC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 12:58:39 GMT",1997200262,HRADC-FBP,HRADC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 12:58:41 GMT",1998394687,HRADC-FBP,HRADC,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 13:07:02 GMT",6666666666,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 13:11:07 GMT",1472583690,HRADC-FBP,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 13:11:09 GMT",8008580085,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 13:11:11 GMT",5310553105,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 13:11:11 GMT",5236987410,HRADC-FBP,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reprovado
"Wed, 23 Aug 2017 13:11:13 GMT",147896325,HRADC-FBP,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 13:12:37 GMT",7489510263,HRADC-FBP,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 14:27:10 GMT",1111,HRADC-FBP,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 14:27:12 GMT",2222,HRADC-FBP,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Wed, 23 Aug 2017 14:27:13 GMT",3333,HRADC-FBP,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 18:42:21 GMT",1036840292,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:00:15 GMT",1036840292,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:00:17 GMT",1036840297,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:00:19 GMT",1036840300,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:00:22 GMT",1036840298,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:06:37 GMT",1036840286,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:06:39 GMT",1036840273,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:06:41 GMT",1036840302,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:06:41 GMT",1036840293,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reprovado
"Thu, 24 Aug 2017 19:06:44 GMT",1036840285,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:11:29 GMT",1036840283,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:11:31 GMT",1036840282,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:11:33 GMT",1036840278,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aprovado
"Thu, 24 Aug 2017 19:11:34 GMT",1036840288,HRADC-FAX,HRADC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reprovado
